scientific_name;new name;Family1;Order1;Avibase.ID1;Total.individuals;Female;Male;Unknown;Complete.measures;Beak.Length_Culmen;Beak.Length_Nares;Beak.Width;Beak.Depth;Tarsus.Length;Wing.Length;Kipps.Distance;Secondary1;Hand.Wing.Index;Tail.Length;Mass;Mass.Source;Mass.Refs.Other;Inference;Traits.inferred;Reference.species;Habitat;Habitat.Density;Migration;Trophic.Level;Trophic.Niche;Primary.Lifestyle;Min.Latitude;Max.Latitude;Centroid.Latitude;Centroid.Longitude;Range.Size;taxon_no_data
Turdoides reinwardtii;Turdoides reinwardtii;Leiotrichidae;Passeriformes;AVIBASE-D5BF7D2F;5;2;3;0;4;25.6;14.6;5;6.5;33.6;114.4;12.9;104.3;11;113.2;78.8;Dunning;NA;NO;NA;NA;Woodland;2;1;Omnivore;Omnivore;Generalist;2.54;16.35;9.77;0.34;2152069.64;trait available
Turdus flavipes;Turdus flavipes;Turdidae;Passeriformes;AVIBASE-83389238;9;3;5;1;4;21.7;11;5;5.7;25.7;110.6;28.6;81.9;25.9;84.1;65.1;Dunning;NA;NO;NA;NA;Forest;2;1;Omnivore;Frugivore;Insessorial;-30.52;11.45;-13.08;-53.29;940921.44;trait available
Turdus helleri;Turdus helleri;Turdidae;Passeriformes;AVIBASE-FC085C6D;3;0;3;0;3;24.3;14;5.1;6.9;30;116;19.6;96.4;16.9;89.8;68.7;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Terrestrial;-3.48;-3.29;-3.37;38.33;154.35;trait available
Turdus rufiventris;Turdus rufiventris;Turdidae;Passeriformes;AVIBASE-849B6005;15;2;7;6;4;25.2;14.6;5.3;6.7;33.4;115.5;20.1;95;17.4;101.5;69.4;Dunning;NA;NO;NA;NA;Forest;1;2;Omnivore;Invertivore;Generalist;-37.43;-2.39;-19.83;-50.7;5028683.78;trait available
Tychaedon quadrivirgata;Tychaedon quadrivirgata;Muscicapidae;Passeriformes;AVIBASE-92908926;5;2;3;0;4;17.6;10.1;3.6;4;26.7;79.6;11;68.2;13.9;71;26.1;Dunning;NA;NO;NA;NA;Shrubland;1;1;Carnivore;Invertivore;Terrestrial;-33.82;3.24;-15.43;32.73;1616296.2;trait available
Tychaedon signata;Tychaedon signata;Muscicapidae;Passeriformes;AVIBASE-231FD09E;4;1;2;1;4;22.8;13.6;3.9;4.5;27.9;84;11.1;72.9;13.2;80.2;38.2;Dunning;NA;NO;NA;NA;Woodland;1;1;Carnivore;Invertivore;Terrestrial;-34.05;-22.32;-27.7;30.47;167351;trait available
Urocissa erythroryncha;Urocissa erythroryncha;Corvidae;Passeriformes;AVIBASE-76C44D5A;11;2;9;0;4;38.7;22.5;12.1;13;45.3;181.3;35;146.6;19.3;366.3;151.5;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Omnivore;Insessorial;11.63;41.17;26.37;107.36;4461983.11;trait available
Xenops rutilus;Xenops rutilus;Furnariidae;Passeriformes;AVIBASE-D55A3901;20;5;13;2;4;13.3;9.3;2.9;4.5;14.3;65.8;15.5;50.4;23.5;49;11.2;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-30.64;11.58;-13.23;-54.69;6929954.15;trait available
Xiphorhynchus fuscus;Xiphorhynchus fuscus;Furnariidae;Passeriformes;AVIBASE-E318C4AB;10;2;7;1;2;26.9;18.9;3.7;4.7;17.5;77.7;15.1;61.9;19.6;71.9;21.8;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-30.44;-7.84;-19.5;-46.18;1948346.79;trait available
Zapornia flavirostra;Zapornia flavirostra;Rallidae;Gruiformes;AVIBASE-148F0B01;5;2;3;0;4;24.1;12.5;3.6;6.7;40.4;98.8;17.8;82;17.7;41;86.2;Dunning;NA;NO;NA;NA;Wetland;2;1;Carnivore;Aquatic predator;Terrestrial;-34.84;19.72;-2.62;20.16;16710583.49;trait available
Zosterops silvanus;Zosterops silvanus;Zosteropidae;Passeriformes;AVIBASE-B24BD4A1;3;2;1;0;3;13.4;7.3;3.1;3.3;15.9;57.2;10.1;47.1;17.7;46;11;DataFromSplit;NA;NO;NA;NA;Forest;1;1;Omnivore;Invertivore;Insessorial;-3.85;-3.28;-3.49;38.42;1532.04;trait available
Cossyphicula gladiator;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no data
Parus palustris/montanus;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no data
Pyrrhocoma ceps;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no data
Saltator conirostris;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no data
