taxon;scientific_name;revised_name;category;body_mass;diet;foraging_strata;activity_period;taxon_no_data
Mammalia;Murina_suilla;Murina_suilla;up_to_date;3.6;carnivore;A;nocturnal;trait available
Mammalia;Mus_domesticus;Mus_musculus;updated;16.1;herbivore;G;nocturnal;trait available
Mammalia;Mus_musculus;Mus_musculus;up_to_date;16.1;herbivore;G;nocturnal;trait available
Mammalia;Muscardinus_avellanarius;Muscardinus_avellanarius;up_to_date;27.5;herbivore;Ar;nocturnal;trait available
Mammalia;Mustela_erminea;Mustela_erminea;up_to_date;119.4;carnivore;G;nocturnal;trait available
Mammalia;Mustela_nivalis;Mustela_nivalis;up_to_date;137.5;carnivore;G;nocturnal;trait available
Mammalia;Mymu;Myotis_muricola;updated;4.1;carnivore;A;nocturnal;trait available
Mammalia;Myodes_glareolus;Myodes_glareolus;up_to_date;21.2;herbivore;G;cathemeral;trait available
Mammalia;Myoprocta_acouchy;Myoprocta_acouchy;up_to_date;600;herbivore;G;diurnal;trait available
Mammalia;Myotis_ater;Myotis_ater;up_to_date;6;carnivore;A;nocturnal;trait available
Mammalia;Myotis_horsefieldi;Myotis_horsfieldii;updated;6.3;carnivore;A;nocturnal;trait available
Mammalia;Myotis_nigricans;Myotis_nigricans;up_to_date;4.2;carnivore;A;nocturnal;trait available
Mammalia;Myotis_ridleyi;Myotis_ridleyi;up_to_date;4.5;carnivore;A;nocturnal;trait available
Mammalia;Myotis_riparius;Myotis_riparius;up_to_date;5.6;carnivore;A;nocturnal;trait available
Mammalia;Nacomys_sp.;Nacomys_sp.;morphospecies;28.85;herbivore;G;cathemeral;trait available
Mammalia;Nasua_nasua;Nasua_nasua;up_to_date;3793.8;omnivorous;S;diurnal;trait available
Mammalia;Natalus_stramineus;Natalus_stramineus;up_to_date;5;carnivore;A;nocturnal;trait available
Mammalia;Necromys_lasiurus;Necromys_lasiurus;up_to_date;39.9;omnivorous;G;diurnal;trait available
Mammalia;Nectomys_squamipes;Nectomys_squamipes;up_to_date;190.7;omnivorous;G;nocturnal;trait available
Mammalia;Neomys_fodiens;Neomys_fodiens;up_to_date;14.3;omnivorous;G;cathemeral;trait available
Mammalia;Neotoma_fuscipes;Neotoma_fuscipes;up_to_date;229.8;herbivore;G;nocturnal;trait available
Mammalia;Neotoma_lepida;Neotoma_lepida;up_to_date;163.8;herbivore;G;nocturnal;trait available
Mammalia;Niviventer_cremoriventer;Niviventer_cremoriventer;up_to_date;69.7;herbivore;S;nocturnal;trait available
Mammalia;Niviventer_fulvescens;Niviventer_fulvescens;up_to_date;82.5;herbivore;S;nocturnal;trait available
Mammalia;Noctilio_leporinus;Noctilio_leporinus;up_to_date;58.3;omnivorous;G;nocturnal;trait available
Mammalia;Nycteris_tragata;Nycteris_tragata;up_to_date;14.4;carnivore;A;nocturnal;trait available
Mammalia;Oecomys_catherinae;Oecomys_catherinae;up_to_date;73.4;herbivore;G;nocturnal;trait available
Mammalia;Oecomys_sp.;Oecomys_sp.;morphospecies;63.58666667;herbivore;G;nocturnal;trait available
Mammalia;Oecomys_speciosus;Oecomys_speciosus;up_to_date;73.4;herbivore;G;nocturnal;trait available
Mammalia;Oligoryzomys_flavescens;Oligoryzomys_flavescens;up_to_date;21.3;omnivorous;G;nocturnal;trait available
Mammalia;Oligoryzomys_fornesi;Oligoryzomys_fornesi;up_to_date;14;herbivore;G;nocturnal;trait available
Mammalia;Oligoryzomys_nigripes;Oligoryzomys_nigripes;up_to_date;20.5;omnivorous;G;nocturnal;trait available
Mammalia;Oryctolagus_cuniculus;Oryctolagus_cuniculus;up_to_date;1958.3;herbivore;G;nocturnal;trait available
Mammalia;Oryzomys_laticeps;Oryzomys_laticeps;up_to_date;49.11;herbivore;G;cathemeral;trait available
Mammalia;Oryzomys_macconnelli;Oryzomys_macconnelli;up_to_date;58;herbivore;G;cathemeral;trait available
Mammalia;Oryzomys_megacephalus;Oryzomys_megacephalus;up_to_date;57.8;herbivore;G;cathemeral;trait available
Mammalia;Oryzomys_nigripes;Oligoryzomys_nigripes;updated;20.5;omnivorous;G;nocturnal;trait available
Mammalia;Oryzomys_trinitatis;Oecomys_trinitatis;updated;73.4;herbivore;G;nocturnal;trait available
Mammalia;Oryzorictes_hova;Oryzorictes_hova;up_to_date;36.5;carnivore;G;nocturnal;trait available
Mammalia;Oxymycterus_dasytrichus;Oxymycterus_dasytrichus;up_to_date;52.1;carnivore;G;diurnal;trait available
Mammalia;Panthera_pardus;Panthera_pardus;up_to_date;54999.7;carnivore;G;nocturnal;trait available
Mammalia;Pecari_tajacu;Pecari_tajacu;up_to_date;21266.7;herbivore;G;cathemeral;trait available
Mammalia;Perognathus_fallax;Chaetodipus_fallax;updated;18.7;herbivore;G;nocturnal;trait available
Mammalia;Peromyscus_californicus;Peromyscus_californicus;up_to_date;43.5;omnivorous;G;nocturnal;trait available
Mammalia;Peromyscus_eremicus;Peromyscus_eremicus;up_to_date;23.7;omnivorous;G;nocturnal;trait available
Mammalia;Peropteryx_leucoptera;Peropteryx_leucoptera;up_to_date;6;carnivore;A;nocturnal;trait available
Mammalia;Philander_frenatus;Philander_frenatus;up_to_date;167.7;omnivorous;S;cathemeral;trait available
Mammalia;Philander_opossum;Philander_opossum;up_to_date;585.5;omnivorous;S;cathemeral;trait available
Mammalia;Phoniscus_atrox;Phoniscus_atrox;up_to_date;4.3;carnivore;A;nocturnal;trait available
Mammalia;Phoniscus_jagorii;Phoniscus_jagorii;up_to_date;4.7;carnivore;A;nocturnal;trait available
Mammalia;Phylloderma_stenops;Phylloderma_stenops;up_to_date;53.7;herbivore;Ar;nocturnal;trait available
Mammalia;Phyllomys_sp.;Phyllomys_sp.;morphospecies;265.4538462;herbivore;G;nocturnal;trait available
