taxon,scientific_name,Family,Subfamily,body_size_female (mm),N_body_size_female,body_size_male (mm),N_body_size_male,forewing_length_females (mm),N_forewing_length_females,forewing_length_males (mm),N_forewing_length_males,trophic level / diet,reproductive mode,foraging strata / habitat,References,OBS
Hymenoptera,Levansa sp. 01,Ichneumonidae,Ichneumoninae,7.5 [47]; 12.4 [15],1 [47]; 1 [15],8 [46]; 8 [33],não informado [46]; 1 [33],6.8 [47]; 10.7 [15],1 [47]; 1 [15],NA,NA,,,,"57. Rossem, G. (1983) A Revision of Western Palaearctic Oxytorine Genera. Part IV Genus Megastylus (Hymenoptera, Ichneumonidae). Entomofauna, 4(8): 121-132.",
Hymenoptera,Lissonota albopicta,Ichneumonidae,Banchinae,"10.0 [78, 33]","1 [78,33]",NA,NA,6.5 [48],1 [48],NA,NA,Parasitoid of Lepidoptera [86],holometabolous [86],"forest, fragment 1180 a 27616m2 [86]","58. Ashfaq, M.; Erlandson, M. & Braun, L. (2005) Hyperparasitism by Mesochorus spp. (Hymenoptera: Ichneumonidae) in Peristenus sp. (Hymenoptera: Braconidae) and development of PCR primers for hyperparasitoid detection. Biological Control, 32: 371-377.",
Hymenoptera,Lissonota fulva,Ichneumonidae,Banchinae,NA,NA,NA,NA,6.0-8.0 [48],1 [48],NA,NA,Parasitoid of Lepidoptera [86],holometabolous [86],"forest, fragment 2319 a 12190m2 [86]","59. Cho, Y. Kwon, O. & Nam, S-H (2006) Ecological and morphological characteristics of the endoparasitoids of larval Acronicta rumicis (Lepidoptera: Noctuidae). Entomological Research, 36: 208-215.",
Hymenoptera,Lusius sp.,Ichneumonidae,Ichneumoninae,4.7-7.8 [51]; 8.08 [50],20 [51]; 1 [50],5 [52],1 [52],4.1-5.3 [51]; 5.08 [50],20 [51]; 1 [50],4.2 [53],3 [53],parasitoid of Ceraeochrysa sp. (Chrysopidae) [49],NA,in orange crops Citrus aurantium [49],"60. Dasch, C.E. (1974) Neotropic Mesochorinae (Hymenoptera: Ichneumonidae). Memoirs of the American Entomological Institute, 22: 1-509.",
Hymenoptera,Megastylus sp.,Ichneumonidae,Orthocentrinae,5.5 [15]; 3.4 [54],1 [15]; 1 [54],3.3-3.8 [56]; 2.9 [54],3 [56]; 1 [54],4.2 [15]; 2.5-4.5 [57]; 5.4 [55]; 2.3 [54],1 [15]; 20 [57]; 1 [55]; 1 [54],2.9-3.5 [56]; 2.8-6.0 [57]; 2.4 [54],3 [56]; 6 [57]; 1 [54],parasitoid of Keroplatidae larvae (Diptera) [54],"koinobiont, solitary larval endoparasitoid [54]",in orchid nurseries (Lyprauta spp. and Proceroplatus sp.) [54],"61. Kolyada, V. & Mostovski, M.B. (2017) Revision of the genus Hormoserphus Townes, 1981 (Hymenoptera: Proctotrupidae), with description of Trachyserphus gen. n. and a new species. Zootaxa, 4254(5): 575-583. http://dx.doi.org/10.11646/zootaxa.4254.5.6",
Hymenoptera,Mesochorus sp.,Ichneumonidae,Mesochorinae,2.7-7.2 [60],91 [60],2.6-7.4 [60],82 [60],2.5-6.4 [60],91 [60],2.4-6.2 [60],82 [60],hyperparasitoids [59],koinobiont [59],in alfalfa fields [58],"62. Shaw, MR; Kan, P; Stirum, BKL; Schwarz, M. 2021. The remarkeble biology of a new of Gelis Thunberg, 1827 (Ichneumonidae, Phygadeuontinae), a solitary endoparasitoid of fresh eggs of Timarcha (Coleoptera, Chrysomelidae). Journal of Hymenoptera Research, 82: 161-186. http://dx.doi.org/10.3897/jhr.82.64657",
Hymenoptera,Netelia ephippiata,Ichneumonidae,Tryphoninae,10.76 [75],1 [75],NA,NA,NA,NA,NA,NA,"Parasitoid of Lepidoptera: Geometridae [86,89]","coinobionte, holometabolous [86, 89]","forest, fragment 4738m2 [86]","63. A new species of Amphibulus Kriechbaumer (Hymenoptera, Ichneumonidae, Cryptinae) from Beijing with a key to species known from the Oriental and Eastern Palaearctic regions. ZooKeys, 312: 89-95. http://dx.doi.org/10.3897/zookeys.312.5294",Média única entre Netelia ephippiata e Phytodietus zealandicu [ver 75]
Hymenoptera,Oxyserphus sp. 01,Proctotrupidae,Proctotrupinae,5.58 [61],1 [61],NA,N,1.8-5.6 [40],14 [40],1.9-3.3 [40],3 [40],host are Curculionidae and Anthribidae (Coleoptera) [40],endoparasitoids [40],Nothofagus menziesii (Nothofagaceae) in New Zealand [40],"64. Luhman, J.C. (1991) A Revision of the World Amphibulus Kriechbaumer (Hymenoptera: Ichneumonidae, Phygadeuontinae). Insecta Mundi, 5(3-4): 129-152.",
Hymenoptera,Oxyserphus sp. 02,Proctotrupidae,Proctotrupinae,5.58 [61],1 [61],NA,N,1.8-5.6 [40],14 [40],1.9-3.3 [40],3 [40],host are Curculionidae and Anthribidae (Coleoptera) [40],endoparasitoids [40],Nothofagus menziesii (Nothofagaceae) in New Zealand [40],"65. Yoshida, T. & Konishi, K. (2008) Taxonomic study of the genus Dichrogaster Doumerc (Hymenoptera: Ichneumonidae: Cryptinae) in Japan. Entomological Science, 11: 247-258. http://dx.doi.org/10.1111/j.1479-8298.2008.00260.x",
Hymenoptera,Oxyserphus sp. 03,Proctotrupidae,Proctotrupinae,5.58 [61],1 [61],NA,N,1.8-5.6 [40],14 [40],1.9-3.3 [40],3 [40],host are Curculionidae and Anthribidae (Coleoptera) [40],endoparasitoids [40],Nothofagus menziesii (Nothofagaceae) in New Zealand [40],"66. González-Moreno, A.; Bordera, S. & Delfin, H. (2010) A new species of Endasys Förster (Hymenoptera, Ichneumonidae, Cryptinae) from Mexico. Zootaxa, 2648: 61-68.",
