AccSpeciesName;Dispersal syndrome;Leaf nitrogen (N) content per leaf dry mass;Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume);Seed dry mass;Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC);taxon_no_data
Casuarina equisetifolia;Disp;4.106333333;0.804674737;17109.54152;NA;trait available
Catha edulis;NA;NA;0.64575;1.68;NA;trait available
Catostemma albuquerquei;NA;NA;0.69;NA;NA;trait available
Ceanothus coeruleus;Disp;NA;NA;NA;NA;trait available
Cecropia;Disp;2.7584;NA;0.55;NA;trait available
Cecropia glaziovii;NA;2.827777778;21.64512422;5.00E-04;277.454;trait available
Cecropia hololeuca;NA;NA;0.43;NA;NA;trait available
Cecropia pachystachya;NA;2.283333333;0.41;0.804545455;NA;trait available
Cecropia purpurascens;NA;NA;0.342;NA;NA;trait available
Cecropia sciadophylla;Disp;7.12890025;0.390399624;1.726101159;NA;trait available
Cedrela;NA;13.42397375;0.43;NA;NA;trait available
Cedrela fissilis;NA;5.650376663;59.41316847;NA;NA;trait available
Cedrela odorata;wind;5.034920077;159.8900733;2445.150319;179.0222633;trait available
Ceiba;NA;15.15171908;0.541629297;NA;NA;trait available
Ceiba speciosa;Disp;7.8;84.81985359;154.764;NA;trait available
Celtis africana;NA;0.998008798;0.658130987;42.43714286;NA;trait available
Celtis gomphophylla;Disp;2.99;0.538587375;NA;NA;trait available
Celtis iguanaea;Disp;4.237868324;0.64158914;79.94453462;181.5585903;trait available
Centaurea hyalolepis;epizoochor;NA;NA;NA;NA;trait available
Centaurea verutum;NA;NA;NA;4.28;NA;trait available
Centrolobium tomentosum;NA;3.565;0.648;NA;NA;trait available
Cerbera manghas;NA;NA;0.38;NA;NA;trait available
Cespedesia spathulata;wind;4.083918081;0.602393823;0.221786696;55.06294757;trait available
Cestrum;Disp;NA;NA;40.12613778;NA;trait available
Chamaecrista;NA;4.043333333;0.947493122;NA;NA;trait available
Chamaecrista ensiformis;NA;NA;NA;NA;271.085;trait available
Cheiloclinium cognatum;Disp;1.054260014;NA;NA;NA;trait available
Chiococca alba;Disp;NA;0.614858498;10.23;NA;trait available
Chionanthus filiformis;NA;NA;NA;NA;392.142;trait available
Christella dentata;wind;NA;NA;NA;NA;trait available
Chrysophyllum;Diaspore is eaten intentionally;13.66401012;0.697197401;1864.911582;0.362682203;trait available
Chrysophyllum albidum;NA;NA;0.602364373;1010;NA;trait available
Chrysophyllum flexuosum;NA;1.8675;0.842608773;NA;NA;trait available
Chrysophyllum gonocarpum;animal;NA;0.6725;5488.422639;NA;trait available
Chrysophyllum inornatum;NA;1.515;NA;NA;334.691;trait available
Chrysophyllum marginatum;NA;NA;0.704333333;NA;NA;trait available
Chrysophyllum sanguinolentum;Disp;3.922274203;0.649991679;NA;NA;trait available
Chrysophyllum viride;NA;NA;39.79561668;NA;NA;trait available
Cinnamomum;NA;13.70717517;0.470524454;NA;NA;trait available
Cinnamomum triplinerve;Animal;1.899052788;0.516318534;460.287499;263.0145835;trait available
Citronella paniculata;NA;1.799;1.505208864;NA;NA;trait available
Clarisia;NA;1.64;NA;NA;NA;trait available
Clarisia biflora;Disp;2.338769875;0.512114582;1748.952392;NA;trait available
Clarisia ilicifolia;Disp;2.72;NA;761.2024003;NA;trait available
Clarisia racemosa;Disp;10.95540031;0.574161296;2580.691634;NA;trait available
Clausena anisata;NA;1.17437537;0.590256423;78.78;NA;trait available
Clematis paniculata;NA;NA;NA;6.4;NA;trait available
Clematis vitalba;wind;3.086763636;0.15;2.358826946;210.0963644;trait available
Clethra;NA;12.21415833;NA;NA;NA;trait available
Clethra scabra;NA;14.95504324;0.486;0.00017963;399.79;trait available
Clusia criuva;NA;1.22;0.613369778;0.002188238;287.773;trait available
Clusia rosea;Disp;1.028333334;0.644305556;0.0107692;NA;trait available
Coccoloba mollis;animal;1.782099265;0.64332;269.2128314;NA;trait available
Coccoloba rosea;NA;NA;NA;NA;252.5;trait available
Coffea arabica;NA;33.34083333;0.61828;227.2830194;232.9956487;trait available
Cojoba arborea;Disp;NA;0.671428571;923.3333333;NA;trait available
Cola gigantea;NA;1.979653298;0.480102042;NA;NA;trait available
Colubrina arborescens;unassisted/short-distance;1.39;0.7;26.88;NA;trait available
Colubrina glandulosa;NA;2.803166292;0.71050846;19.06;238.9355399;trait available
Comarostaphylis discolor;Disp;NA;NA;NA;NA;trait available
Combretaceae;NA;1.667450104;NA;NA;NA;trait available
Combretum;NA;1.788586957;NA;NA;NA;trait available
Combretum apiculatum;NA;2.085652174;0.86961;146.4771429;282.038;trait available
Conceveiba guianensis;Disp;3.282019241;0.529472194;NA;NA;trait available
Convolvulus althaeoides;autochory;1.53;NA;13.32285714;NA;trait available
Convolvulus dorycnium;NA;NA;NA;17.2;NA;trait available
Convolvulus humilis;NA;NA;NA;8.02;NA;trait available
Convolvulus siculus;Restricted.spatial.dispersal;NA;NA;5.5;NA;trait available
Copaifera duckei;NA;2.954285714;0.62;NA;NA;trait available
Copaifera langsdorffii;NA;2.2575;0.65;NA;NA;trait available
Copaifera multijuga;NA;2.687948718;0.585;NA;NA;trait available
Copaifera trapezifolia;NA;NA;NA;0.808266668;460.476;trait available
Coprosma grandifolia;NA;1.6;NA;21.92125;NA;trait available
Coprosma propinqua;NA;NA;NA;6.966666667;NA;trait available
Coprosma rhamnoides;NA;NA;NA;2.7;NA;trait available
Coprosma robusta;NA;NA;NA;8.596666667;NA;trait available
Cordia;Disp;6.226071991;0.496429838;NA;NA;trait available
Cordia ecalyculata;NA;NA;1.076;NA;NA;trait available
Cordia exaltata;NA;19.9183655;0.476297893;NA;NA;trait available
Cordia sellowiana;NA;3.09;50.02844003;NA;NA;trait available
Cordia taguahyensis;NA;NA;0.86125;NA;NA;trait available
Cordia toqueve;NA;NA;NA;13.36;NA;trait available
Cordia trichoclada;NA;NA;47.5469758;NA;NA;trait available
Cordia trichotoma;NA;NA;0.5976;NA;NA;trait available
Cordiera sessilis;NA;NA;0.88;NA;NA;trait available
Cordyline australis;NA;NA;NA;4.277;NA;trait available
Cordyline banksii;NA;NA;NA;3.7;NA;trait available
Cornus alternifolia;animal;1.554545455;NA;519.390476;NA;trait available
Cornus disciflora;Disp;1.01;0.53;NA;NA;trait available
Cornus excelsa;Disp;NA;NA;NA;NA;trait available
Cornus sericea;Disp;1.689566667;NA;25.47238467;275.3513338;trait available
Cornutia pyramidata;NA;NA;0.6;NA;NA;trait available
Coronilla scorpioides;anemochory;NA;NA;0.11;NA;trait available
Corylus cornuta;Disp;1.967269865;NA;843.9993063;NA;trait available
Corynocarpus laevigatus;NA;3;NA;2345.2;142.1125858;trait available
Corythophora alta;NA;10.8434645;0.72910561;NA;NA;trait available
Couepia;Mamalochory;8.76683225;0.67543549;1.287013;NA;trait available
Couepia robusta;NA;1.16;0.83;NA;NA;trait available
Couepia venosa;NA;1.72625;0.696224848;NA;NA;trait available
Couma guianensis;NA;0.908267826;0.46672275;NA;NA;trait available
Couratari stellata;Disp;2.452754977;0.632144167;NA;NA;trait available
Coussapoa microcarpa;NA;1.46;0.578711273;NA;272.579;trait available
Coussarea;Disp;1.863333333;NA;NA;NA;trait available
Coussarea accedens;NA;2.79;0.701262908;NA;NA;trait available
Coussarea contracta;NA;NA;NA;NA;247.528;trait available
Coutarea hexandra;NA;2.753678131;0.610946894;3.9775;204.3172818;trait available
Crataegus;NA;NA;NA;NA;265.9993239;trait available
Crepis sancta;anemochory;4.26722;NA;0.135714286;126.4285714;trait available
Crinodendron hookerianum;Hydrochory;NA;NA;NA;NA;trait available
Crossopetalum parviflorum;Disp;NA;NA;NA;NA;trait available
Croton;NA;NA;0.651960095;NA;NA;trait available
Croton floribundus;NA;2.97;0.6;NA;NA;trait available
Croton fragilis;NA;NA;NA;14;NA;trait available
Croton macrobothrys;NA;NA;49.82875049;NA;352.88;trait available
Croton macrostachyus;NA;NA;0.479204058;69.89285714;NA;trait available
Croton matourensis;NA;NA;0.437193333;NA;NA;trait available
Croton urucurana;NA;3.94;0.528;NA;NA;trait available
Crucianella macrostachya;NA;NA;NA;1.23;NA;trait available
Crupina crupinastrum;anemochory;NA;NA;10.66666667;NA;trait available
Cryptocarya;NA;3.8728075;0.606012348;3157.142857;NA;trait available
Cryptocarya aschersoniana;NA;2.1103606;0.61333137;0.579025;411.63;trait available
Cryptocarya mandioccana;NA;NA;1.278;1.1488;388.461;trait available
Cryptocarya moschata;Animal;NA;NA;NA;NA;trait available
Cupania;Diaspore is eaten intentionally;12.30854075;NA;395.8728027;NA;trait available
Cupania dentata;NA;1.5012;0.66;NA;NA;trait available
Cupania furfuracea;NA;NA;1.218;NA;NA;trait available
Cupania hirsuta;Disp;NA;NA;236.0984355;NA;trait available
Cupania oblongifolia;NA;NA;0.67;NA;NA;trait available
Cupania scrobiculata;Disp;2.592588681;0.669791667;144.2378911;0.425128452;trait available
Cupania vernalis;NA;NA;0.598016761;0.15245;399.961;trait available
Cupressus lusitanica;NA;NA;0.393333333;4.310733529;NA;trait available
Cussonia arborea;NA;15.8945425;0.357459667;7.91;NA;trait available
Cyathea corcovadensis;NA;NA;NA;1.32E-07;285.403;trait available
Cyathea delgadii;NA;NA;NA;1.32E-07;344.34;trait available
Cyathea phalerata;NA;NA;NA;1.32E-07;285.105;trait available
Cybistax antisyphilitica;NA;NA;0.59;NA;NA;trait available
Cynodon dactylon;unassisted;15.78272783;NA;53105.82038;233.8224607;trait available
Cynometra;NA;NA;0.81795;NA;NA;trait available
Cynophalla flexuosa;Disp;2.541633333;0.729486441;67;NA;trait available
Cytisus scoparius;dysochor;12.72766667;0.435265447;1083.720252;111.1114573;trait available
Dactylis glomerata;agochor;11.86165797;0.074041453;3445.968794;169.9717579;trait available
Dahlstedtia pinnata;NA;3.69;1.038669305;NA;NA;trait available
Dalbergia;NA;NA;0.964355562;NA;NA;trait available
Dalbergia frutescens;NA;NA;0.593271977;162.75;NA;trait available
Dalbergia glomerata;Disp;NA;NA;40;NA;trait available
Danaea nodosa;NA;2.262;NA;NA;153.0500238;trait available
Daphnopsis;Disp;NA;NA;NA;NA;trait available
Daphnopsis brasiliensis;NA;NA;0.52;NA;NA;trait available
Daphnopsis fasciculata;NA;NA;NA;0.048076922;325.155;trait available
Daucus aureus;NA;NA;NA;2.8;NA;trait available
Delairea odorata;Anemochory: Small seeds with pappus or very light seeds (ex,  Crepis sp. or Orchis sp.);2.22;NA;NA;NA;trait available
Delphinium peregrinum;NA;NA;NA;1.36;NA;trait available
Dendropanax;NA;13.7927185;0.420529801;NA;NA;trait available
Dendropanax arboreus;Disp;2.230807682;0.422725746;7.101529646;231.9826794;trait available
Dendropanax cuneatus;NA;20.10023388;NA;NA;NA;trait available
Deverra tortuosa;NA;NA;NA;0.55;NA;trait available
Dialium guianense;Disp;8.037005206;0.839242997;218.775225;NA;trait available
Dianthus strictus;NA;NA;NA;1.15;NA;trait available
Diatenopteryx sorbifolia;NA;2.82;0.744;0.072228241;378.754;trait available
Dicksonia sellowiana;NA;NA;NA;3.69E-07;419.481;trait available
Dillenia;NA;NA;0.46;NA;NA;trait available
Dinizia excelsa;NA;1.983333333;0.897845833;200;NA;trait available
Diospyros;no;17.76083333;0.739657295;2933.39018;46.11895023;trait available
Diospyros abyssinica;Disp;NA;0.6;196.395;NA;trait available
Diospyros capreifolia;Disp;3.301299705;0.73;NA;NA;trait available
Diospyros cavalcantei;NA;1.099567356;NA;NA;NA;trait available
Diospyros guianensis;NA;NA;0.6;NA;NA;trait available
Diospyros inconstans;NA;NA;0.83;NA;NA;trait available
Diospyros myriophylla;NA;NA;NA;37.94;NA;trait available
