AccSpeciesName;Dispersal syndrome;Leaf nitrogen (N) content per leaf dry mass;Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume);Seed dry mass;Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC);taxon_no_data
Tecoma stans;Disp;NA;0.466;6673.073333;NA;trait available
Tepualia stipularis;Anemochory;0.686666667;1.063;3.00E-04;NA;trait available
Terminalia;Disp;2.165317792;0.665;410.7319753;NA;trait available
Terminalia catappa;Disp;3.606666667;0.499383957;2056.785368;NA;trait available
Terminalia dichotoma;Disp;NA;0.707746667;NA;NA;trait available
Terminalia fatraea;NA;NA;NA;128.96;NA;trait available
Terminalia januarensis;NA;4.075;1.275015596;NA;NA;trait available
Ternstroemia;NA;NA;NA;730;NA;trait available
Ternstroemia brasiliensis;NA;1.25;0.47;NA;211.0715068;trait available
Ternstroemia lineata;Disp;NA;NA;NA;NA;trait available
Ternstroemia tepezapote;NA;NA;0.633438783;NA;NA;trait available
Tetracera madagascariensis;NA;NA;NA;12.14;NA;trait available
Tetrorchidium;Autochory;NA;NA;0.695811861;NA;trait available
Tetrorchidium rubrivenium;NA;16.695426;0.340715666;0.052583332;209.829;trait available
Teucrium capitatum;autochory;NA;0.029018045;1.147777778;117.5455045;trait available
Theobroma grandiflorum;NA;1.53;NA;NA;NA;trait available
Theobroma subincanum;Disp;2.484473475;0.46733005;NA;NA;trait available
Thuja occidentalis;NA;7.575757576;70.24;73907.72288;NA;trait available
Thyrsodium spruceanum;NA;5.774255365;0.618472457;NA;NA;trait available
Tibouchina pulchra;NA;1.929166667;NA;NA;NA;trait available
Tilia americana;Disp;16.82798986;0.346666667;240.6139395;117.1861457;trait available
Tocoyena formosa;NA;1.86;NA;NA;NA;trait available
Tordylium aegyptiacum;NA;NA;NA;7.433333333;NA;trait available
Torilis tenella;NA;NA;NA;1.6;NA;trait available
Touroulia guianensis;NA;1.42;0.76;NA;NA;trait available
Tovomita;Autochory;1.226200808;0.575452716;1.772026895;NA;trait available
Tovomita choisyana;Disp;NA;0.58;NA;NA;trait available
Tradescantia fluminensis;NA;NA;NA;NA;79.1285;trait available
Trema micrantha;Animal;1.462779539;183.0770141;295.9077391;241.8659298;trait available
Trema orientalis;NA;4.312927991;0.358827218;4.404;NA;trait available
Trichilia;Disp;15.01058;0.605021115;NA;0.348857242;trait available
Trichilia catigua;NA;NA;0.688;NA;NA;trait available
Trichilia cipo;NA;1.610995547;NA;NA;NA;trait available
Trichilia claussenii;NA;2.64;NA;NA;NA;trait available
Trichilia elegans;Disp;2.725;664.3;NA;NA;trait available
Trichilia pallida;Disp;5.952752;0.621546396;0.060297917;263.2155245;trait available
Trichilia pleeana;Disp;6.865327351;0.654376931;453.8498101;NA;trait available
Trichilia schomburgkii;NA;1.218755133;0.686826667;NA;NA;trait available
Trichilia silvatica;NA;NA;0.84;NA;NA;trait available
Trichospermum mexicanum;wind;1.8076;0.37;3.104285714;NA;trait available
Trifolium alexandrinum;NA;49.8280248;NA;13794.68467;169.3545076;trait available
Trifolium campestre;endozoochor;11.52679716;0.075323531;0.327829864;119.3955412;trait available
Trifolium cherleri;"Anemochory: Big seeds with ""wings"", planing in the air (ex,  Acer sp.)";13.84185;NA;3.1367098;265.299;trait available
Trifolium clypeatum;Disp;NA;NA;7.333333333;NA;trait available
Trifolium purpureum;NA;24.11915271;NA;1.531428571;182.4412723;trait available
Trifolium scabrum;endozoochor;NA;NA;0.605543684;185.657;trait available
Trifolium stellatum;Disp;1.99;NA;2.855623953;NA;trait available
Trifolium tomentosum;endozoochor;NA;NA;0.6;NA;trait available
Trigonella arabica;NA;NA;NA;1.6;NA;trait available
Trilepisium madagascariense;NA;13.69919602;0.465499872;713.02;0.411442133;trait available
Trophis mexicana;Disp;1.687;0.68;46.8;NA;trait available
Tsuga canadensis;Diaspore is blown by wind;2.147512071;0.405;25424.60954;NA;trait available
Tulipa agenensis;Anemochory: Stems move with the wind, helping for seed dispersion (ex,  Papaver sp.);NA;NA;2.93;NA;trait available
Uapaca kirkiana;NA;NA;0.567913333;400;NA;trait available
Uapaca louvelii;NA;NA;0.690281456;NA;NA;trait available
Uapaca thouarsii;NA;NA;0.649911504;NA;NA;trait available
Ulex europaeus;unassisted;12.26210526;0.464554137;6.435241948;139.9198244;trait available
Ulmus americana;wind;3.8190075;112.8675;7728.744758;NA;trait available
Uncinia uncinata;NA;NA;NA;0.671428571;NA;trait available
Unonopsis stipitata;Diaspore is eaten intentionally;1.99;0.686;635.0631942;NA;trait available
Urera baccifera;animal;4.62058573;91.2875797;43.6635791;139.1383308;trait available
Urera caracasana;Disp;10.14738462;124.2278824;0.449674786;NA;trait available
Uvariopsis congensis;Animal;4.07;NA;NA;NA;trait available
Vaccinium madagascariense;NA;NA;NA;0.45;NA;trait available
Vangueria infausta;NA;1.89;0.6888;208.92;NA;trait available
Vantanea;NA;2.52;NA;NA;NA;trait available
Vantanea compacta;NA;NA;0.91;1.61325;403.922;trait available
Vantanea parviflora;Disp;2.281353658;0.823884358;NA;NA;trait available
Vatairea sericea;NA;NA;0.67;NA;NA;trait available
Velezia rigida;NA;NA;NA;0.3;NA;trait available
Vepris elliotii;NA;NA;NA;50.98;NA;trait available
Vernonanthura discolor;NA;NA;NA;0.000516419;451.266;trait available
Veronica cymbalaria;ant;NA;NA;2.68;NA;trait available
Viburnum hartwegii;Disp;NA;NA;NA;NA;trait available
Viburnum lantanoides;NA;NA;NA;11500;NA;trait available
Viburnum lentago;animal;2.323707011;NA;722.0158438;NA;trait available
Vicia narbonensis;Autochory;NA;NA;174.9708333;NA;trait available
Vicia palaestina;Disp;NA;NA;36.22;NA;trait available
Vicia peregrina;Autochory;4.29;NA;62.025;NA;trait available
Vicia sativa;unassisted;38.18981473;NA;789.5141346;248.3254614;trait available
Virola;Animal;8.765600447;0.467573478;730;NA;trait available
Virola bicuhyba;NA;2.479;0.673365959;1.2407;249.699;trait available
Virola calophylla;Diaspore is eaten intentionally;10.60258051;0.467846596;1205.654631;NA;trait available
Virola elongata;NA;3.660142142;0.555636741;0.32424;26.13513515;trait available
Virola gardneri;NA;NA;0.45;NA;NA;trait available
Virola michelii;Diaspore is eaten intentionally;1.78070598;0.483247805;1889.506777;NA;trait available
Virola mollissima;NA;2.669568205;NA;NA;NA;trait available
Virola pavonis;NA;8.074803249;0.558075731;NA;NA;trait available
Vismia;Disp;1.672695663;NA;NA;NA;trait available
Vismia cayennensis;Disp;1.328582901;0.49;NA;NA;trait available
Vismia guianensis;Disp;NA;0.475;NA;NA;trait available
Vismia japurensis;NA;3.471470588;NA;NA;NA;trait available
Vitex;NA;18.63833676;0.499822527;NA;0.328300172;trait available
Vitex chrysomallum;NA;NA;NA;31.74;NA;trait available
Vitex cymosa;NA;1.34;0.563333333;334.1428571;NA;trait available
Vittaria lineata;NA;1.09;NA;NA;106.20005;trait available
Vochysia;NA;1.7538;0.455;NA;NA;trait available
Vochysia bifalcata;NA;NA;0.5;NA;NA;trait available
Vochysia magnifica;NA;NA;0.78;NA;NA;trait available
Vochysia tucanorum;NA;1.58375;NA;NA;NA;trait available
Vulpia ciliata;epizoochor;8.4458;NA;0.319736842;323.04;trait available
Vulpia myuros;nautochor;1.566766667;NA;15217.8591;108.4151605;trait available
Warburgia ugandensis;NA;NA;NA;5780;NA;trait available
Weinmannia pinnata;NA;0.973333333;0.59;NA;0.347141293;trait available
Weinmannia trichosperma;Anemochory;0.811666667;0.603333333;0.0875125;NA;trait available
Ximenia americana;NA;7.315568365;0.849430747;694.3071429;NA;trait available
Xylopia;NA;14.34461256;0.42025472;740;NA;trait available
Xylopia amazonica;NA;NA;0.787;NA;NA;trait available
Xylopia aromatica;NA;2.50683696;0.547227666;41.04;NA;trait available
Xylopia benthamii;NA;NA;0.6;NA;NA;trait available
Xylopia brasiliensis;NA;NA;0.7;0.018857141;385.184;trait available
Xylopia frutescens;NA;1.059789162;0.594107691;0.043155556;NA;trait available
Zanthoxylum;Disp;8.035151273;0.631788148;23.5;NA;trait available
Zanthoxylum leprieurii;NA;NA;0.533403523;28.38;NA;trait available
Zanthoxylum melanostictum;Disp;NA;NA;NA;NA;trait available
Zanthoxylum monogynum;NA;NA;664.8166667;NA;NA;trait available
Zanthoxylum rhoifolium;Animal;12.79182708;0.500904503;NA;NA;trait available
Zanthoxylum riedelianum;NA;NA;0.48;NA;NA;trait available
Zeyheria tuberculosa;NA;NA;0.77;NA;NA;trait available
Ziziphora capitata;NA;NA;NA;0.556363636;NA;trait available
Ziziphus joazeiro;Disp;26.34341731;NA;NA;NA;trait available
Zollernia ilicifolia;NA;2.6;1.206043187;NA;NA;trait available
Zollernia paraensis;NA;NA;0.99;NA;NA;trait available
Zygia juruana;NA;NA;0.690115326;NA;NA;trait available
Zygia racemosa;NA;2.693280593;0.748;NA;NA;trait available
Zygia ramiflora;NA;2.776;NA;NA;NA;trait available
